zip,state,city,lat,lng
35004,AL,Acmar,33.584132,-86.51557
35005,AL,Adamsville,33.588437,-86.959727
35006,AL,Adger,33.434277,-87.167455
35007,AL,Keystone,33.236868,-86.812861
35010,AL,New Site,32.941445,-85.951086
35014,AL,Alpine,33.331165,-86.208934
35016,AL,Arab,34.328339,-86.489638
35019,AL,Baileyton,34.268298,-86.621299
35020,AL,Bessemer,33.409002,-86.947547
35023,AL,Hueytown,33.414625,-86.999607
35031,AL,Blountsville,34.092937,-86.568628
35033,AL,Bremen,33.973664,-87.004281
35034,AL,Brent,32.93567,-87.211387
35035,AL,Brierfield,33.042747,-86.951672
35040,AL,Calera,33.1098,-86.755987
35042,AL,Centreville,32.950324,-87.11924
35043,AL,Chelsea,33.371582,-86.614132
35044,AL,Coosa Pines,33.266928,-86.337622
35045,AL,Clanton,32.835532,-86.642472
35049,AL,Cleveland,33.992106,-86.559355
35051,AL,Columbiana,33.176964,-86.616145
35053,AL,Crane Hill,34.082117,-87.048395
35054,AL,Cropwell,33.506448,-86.280026
35055,AL,Cullman,34.176146,-86.829777
35061,AL,Dolomite,33.465424,-86.956435
35062,AL,Dora,33.734947,-87.040148
35063,AL,Empire,33.825589,-87.016139
35064,AL,Fairfield,33.473494,-86.918262
35068,AL,Coalburg,33.611283,-86.813614
35071,AL,Gardendale,33.71891,-86.822481
35072,AL,Goodwater,33.074642,-86.078149
35073,AL,Alden,33.63356,-86.948221
35077,AL,Hanceville,34.051569,-86.784844
35078,AL,Harpersville,33.36746,-86.429441
35079,AL,Hayden,33.885806,-86.81767
35080,AL,Helena,33.316978,-86.813786
35083,AL,Holly Pond,34.190085,-86.617441
35085,AL,Jemison,32.980539,-86.718052
35087,AL,Joppa,34.283739,-86.551939
35089,AL,Kellyton,32.979068,-86.048397
35091,AL,Kimberly,33.768355,-86.808417
35094,AL,Leeds,33.528333,-86.574824
35096,AL,Lincoln,33.605913,-86.111152
35098,AL,Logan,34.184079,-87.038115
35111,AL,Mc Calla,33.284546,-87.102379
35114,AL,Maylene,33.231694,-86.872745
35115,AL,Montevallo,33.124765,-86.862228
35116,AL,Morris,33.739172,-86.772551
35117,AL,Mount Olive,33.67678,-86.87171
35118,AL,Sylvan Springs,33.540696,-87.043998
35120,AL,Odenville,33.675611,-86.408952
35121,AL,Oneonta,33.925858,-86.474118
35124,AL,Indian Springs,33.31046,-86.806176
35125,AL,Pell City,33.597889,-86.343151
35126,AL,Dixiana,33.708131,-86.656542
35127,AL,Pleasant Grove,33.488336,-86.976586
35130,AL,Quinton,33.656065,-87.10066
35131,AL,Ragland,33.736677,-86.1619
35133,AL,Remlap,33.846204,-86.641662
35135,AL,Riverside,33.608832,-86.198341
35136,AL,Rockford,32.877957,-86.240006
35143,AL,Shelby,33.078483,-86.553606
35146,AL,Springville,33.738647,-86.439407
35147,AL,Sterrett,33.446103,-86.491732
35148,AL,Sumiton,33.768005,-87.044545
35150,AL,Sylacauga,33.171675,-86.271257
35160,AL,Talladega,33.435445,-86.113352
35171,AL,Thorsby,32.923755,-86.746724
35172,AL,Trafford,33.819038,-86.743414
35173,AL,Trussville,33.633932,-86.598068
35175,AL,Union Grove,34.409345,-86.462793
35176,AL,Vandiver,33.480704,-86.501278
35178,AL,Vincent,33.401049,-86.399425
35179,AL,Vinemont,34.262121,-86.912512
35180,AL,Warrior,33.852862,-86.819849
35183,AL,Weogufka,33.02381,-86.304203
35184,AL,West Blocton,33.142431,-87.13694
35186,AL,Wilsonville,33.229255,-86.529894
35188,AL,Woodstock,33.169808,-87.163469
35203,AL,Birmingham,33.520994,-86.806626
35209,AL,Homewood,33.469624,-86.806738
35210,AL,Irondale,33.532797,-86.685697
35213,AL,Crestline Height,33.508195,-86.742108
35215,AL,Center Point,33.635447,-86.693197
35216,AL,Vestavia Hills,33.41531,-86.790425
35223,AL,Mountain Brook,33.488726,-86.736584
35226,AL,Bluff Park,33.403675,-86.831257
35228,AL,Midfield,33.462446,-86.914703
35242,AL,Shoal Creek,33.401559,-86.705511
35243,AL,Cahaba Heights,33.446053,-86.743676
35244,AL,Hoover,33.371776,-86.776381
35401,AL,Tuscaloosa,33.196891,-87.562666
35404,AL,Holt,33.210914,-87.488079
35441,AL,Stewart,32.872354,-87.708558
35442,AL,Aliceville,33.122813,-88.166689
35443,AL,Boligee,32.774646,-88.026652
35444,AL,Brookwood,33.277523,-87.309025
35446,AL,Buhl,33.249448,-87.718886
35447,AL,Carrollton,33.248506,-88.132122
35452,AL,Coker,33.252612,-87.636528
35453,AL,Cottondale,33.176667,-87.387051
35456,AL,Duncanville,33.082815,-87.494977
35457,AL,Echola,33.316559,-87.807202
35458,AL,Elrod,33.343678,-87.801429
35459,AL,Emelle,32.754963,-88.305747
35460,AL,Epes,32.763371,-88.161443
35461,AL,Ethelsville,33.386816,-88.221987
35462,AL,Eutaw,32.888871,-87.930297
35463,AL,Fosters,33.135859,-87.735688
35464,AL,Gainesville,32.908364,-88.271558
35466,AL,Gordo,33.346917,-87.900504
35469,AL,Knoxville,32.982423,-87.791855
35470,AL,Coatopa,32.588509,-88.173592
35474,AL,Cypress,32.978853,-87.615134
35476,AL,Northport,33.283425,-87.591441
35480,AL,Ralph,33.062868,-87.744984
35481,AL,Reform,33.395945,-88.020277
35490,AL,Vance,33.17498,-87.257362
35501,AL,Jasper,33.871672,-87.249144
35540,AL,Addison,34.205571,-87.194766
35541,AL,Arley,34.063234,-87.182761
35542,AL,Bankston,33.70083,-87.68965
35543,AL,Bear Creek,34.213469,-87.686083
35544,AL,Beaverton,33.942877,-88.01567
35546,AL,Berry,33.694485,-87.622563
35548,AL,Brilliant,34.037702,-87.756315
35549,AL,Carbon Hill,33.909252,-87.540328
35550,AL,Cordova,33.768033,-87.18406
35552,AL,Detroit,34.010874,-88.16063
35553,AL,Double Springs,34.138682,-87.397431
35554,AL,Eldridge,33.931546,-87.619397
35555,AL,Fayette,33.697397,-87.834647
35563,AL,Guin,33.967624,-87.90238
35564,AL,Hackleburg,34.267803,-87.860762
35565,AL,Haleyville,34.231423,-87.593811
35570,AL,Hamilton,34.153413,-88.008521
35571,AL,Hodges,34.341664,-87.959023
35572,AL,Houston,34.118042,-87.26183
35574,AL,Kennedy,33.574964,-88.05172
35575,AL,Lynn,34.052984,-87.539814
35576,AL,Millport,33.54013,-88.200003
35578,AL,Nauvoo,33.929859,-87.432449
35579,AL,Oakman,33.700174,-87.368574
35580,AL,Parrish,33.721307,-87.265773
35581,AL,Phil Campbell,34.347018,-87.715431
35582,AL,Red Bay,34.451259,-88.112914
35585,AL,Spruce Pine,34.384796,-87.712149
35586,AL,Sulligent,33.8549,-88.150774
35587,AL,Townley,33.84702,-87.437248
35592,AL,Vernon,33.761285,-88.097919
