quantiteProduit;montant;idClient;idMagasin;referenceProduit;date
96;57,44;9901;25;F6D7990E-975E-CFD1-FD90-79F373311103;1676317160
43;128,92;9901;35;CE69886A-6D03-F0DC-350B-110D23C861C0;1601166446
75;74,95;9901;86;79D6C409-392F-FAE9-B99A-9681EF9869FA;1585377335
82;60,1;9901;92;BFDAAC8A-71CB-7D97-8DDE-2C14269FA3E7;1603174121
13;21,35;9901;30;C73E6C04-1C26-7754-AC35-B7085B384254;1620457642
5;182,86;9902;93;854820DB-9115-5F22-6EE0-FA4645B2D94D;1666515736
60;112,51;9902;26;78D51C25-6EDE-87ED-9B9F-EB8CF4ADBEF4;1622271914
34;48,94;9902;39;FB228562-77FD-145D-15B1-E4EF651496EC;1591741980
95;128,07;9902;68;591326EA-48A5-2866-8908-72DD55D524FE;1627631119
28;87,48;9903;11;55893626-F92A-2873-20C4-9F01EE410947;1642421045
64;70,48;9903;81;393160BB-4C82-B59A-1972-300F2F096AA1;1590117369
35;114,55;9904;16;579BB040-AC3C-D168-FF95-8C7105AB44F5;1685977615
23;44,29;9904;99;CD5337A0-D9A0-9634-F546-56075496D886;1700513722
15;124,17;9904;3;45DF79B3-3F5E-2819-A53E-6D1C2E0C418D;1652141027
11;31,51;9904;35;BABD6F68-F9D5-2E03-7D1B-54C4E865D438;1678299540
52;145,24;9904;38;DECA1D05-A526-6002-BAC0-AC228DB415F0;1621345425
42;175,42;9904;77;F4A27D6C-033B-9DA7-90EC-31C8F47BF575;1592352024
88;144,36;9904;86;BC0E33D8-9703-08E0-77F2-5DC5A9BB69E0;1683682644
56;91,99;9904;88;28EB3B50-03D8-3E82-9C1D-1065C4B1C795;1693371874
7;151,89;9905;9;4D8A3813-D29B-A3D2-76CA-73C146571A74;1632905955
12;107,5;9905;65;437C3819-1316-5675-A33C-EC16574D7942;1609420023
89;93,91;9905;77;56AAE0B7-C5AA-BF35-5829-BEFBFE5E4A32;1651278813
68;148,21;9906;56;BFA05C9F-C19D-50BD-1EE0-223C4A5EF8D3;1662297471
43;182,96;9906;89;B82E44C6-2540-1B9F-B5A8-AAA18F49EA14;1698023099
96;157,69;9907;16;2A8EAA8F-8EA7-0879-A027-C5E2ABA90812;1677629790
32;33,53;9907;57;ED805ED7-3FD1-5503-3544-611B4B3A43C7;1635840033
79;45,19;9907;49;4E874F1E-8701-DC66-C0D0-7819C18ACDE7;1621738443
39;11,92;9907;79;BF7BB7A1-67F6-A49B-B029-1A442AEAD100;1618760110
44;97,01;9908;45;86E39697-9B19-107A-CE4C-0205A3B962DB;1601009066
27;155,15;9908;5;EFF397C7-50BA-EB70-7DCE-90980CF92CF2;1672950489
40;89,55;9908;76;7FA4BA66-540E-7C32-7093-431D6A61BACA;1703287605
36;95,05;9909;88;4DE0C4A7-DFEC-6FA5-C80E-D9498994B4E7;1663004777
44;100,6;9910;12;E167163F-4753-1C92-949E-D98FBE430E32;1636422212
43;187,6;9910;52;00300912-A326-7BD2-F240-52CCD4F415AF;1586567188
33;78,11;9910;43;319AEA58-23B6-C6F4-05D9-D7625DDAD7EA;1619579945
7;39,68;9910;98;2902DDB3-E25E-27E8-D1B7-CB6878F77E1B;1649527295
