codeCommune,nom,codePostal,longitude,latitude
284,ozan,1190,4.91667,46.3833
123,cormoranche-sur-saone,1290,4.83333,46.2333
298,plagne-01,1130,5.73333,46.1833
422,tossiat,1250,5.31667,46.1333
309,pouillat,1250,5.43333,46.3333
421,torcieu,1230,5.4,45.9167
320,replonges,1620,4.88333,46.3
119,corcelles,1110,5.58333,46.0333
288,peron,1630,5.93333,46.2
319,relevant,1990,4.95,46.0833
96,chaveyriat,1660,5.06667,46.1833
431,vaux-en-bugey,1150,5.35,45.9167
228,maillat,1430,5.55,46.1333
156,faramans-01,1800,5.11667,45.9
39,beon-01,1350,5.75,45.8333
339,saint-bernard-01,1600,4.73723,45.945
329,rossillon,1510,5.6,45.8333
304,pont-d-ain,1160,5.33333,46.05
269,nantua,1460,5.61667,46.15
94,chavannes-sur-reyssouze,1190,5,46.4333
272,neuville-les-dames,1400,5,46.1667
162,flaxieu,1350,5.73333,45.8167
187,hotonnes,1260,5.68333,46
386,saint-sorlin-en-bugey,1150,5.36667,45.8833
409,songieu,1260,5.7,45.9667
453,virieu-le-petit,1260,5.71667,45.9
345,saint-denis-en-bugey,1500,5.33333,45.95
88,charnoz-sur-ain,1800,5.21667,45.8667
99,chazey-sur-ain,1150,5.25,45.9
233,marchamp,1680,5.55,45.7833
138,culoz,1350,5.78333,45.85
230,mantenay-montlin,1560,5.08333,46.4167
232,marboz,1851,5.25,46.3333
163,foissiat,1340,5.18333,46.3667
426,treffort-cuisiat,1370,5.36834,46.2714
193,izieu,1300,5.63333,45.65
350,saint-etienne-du-bois-01,1370,5.28333,46.2833
185,hauteville-lompnes,1110,5.6,45.9667
389,saint-trivier-sur-moignans,1990,4.9,46.0667
293,peyriat,1430,5.51667,46.15
155,evosges,1230,5.5,45.9583
303,poncin,1450,5.4,46.0833
129,crans-01,1320,5.21667,45.9667
265,montreal-la-cluse,1460,5.57084,46.1867
107,cleyzieu,1230,5.43333,45.9
221,lompnieu,1260,5.65,45.9667
447,villereversure,1250,5.38333,46.1833
374,saint-martin-du-mont-01,1160,5.33333,46.1
354,saint-genis-pouilly,1630,6.01667,46.25
51,bolozon,1450,5.48333,46.2
115,confrancon,1310,5.06667,46.2667
218,lochieu,1260,5.71667,45.9333
84,chanoz-chatenay,1400,5.03333,46.1833
444,villebois,1150,5.43333,45.85
67,ceignes,1430,5.5,46.1167
348,saint-didier-sur-chalaronne,1140,4.81667,46.1667
321,revonnas,1250,5.33333,46.1667
54,bourg-saint-christophe,1800,5.16667,45.8833
113,condeissiat,1400,5.08333,46.1667
296,pirajoux,1270,5.3,46.3833
74,chalamont,1320,5.16667,46
299,plantay,1330,5.08333,46.0167
434,versailleux,1330,5.1,45.9833
254,montagnat,1250,5.28333,46.1667
442,vieu,1260,5.68333,45.9
333,saint-andre-de-corcy,1390,4.95,45.9167
62,bressolles-01,1360,5.1,45.8667
289,peronnas,1960,5.2,46.1833
110,colomieu,1300,5.61667,45.7333
261,monthieux,1390,4.93333,45.95
364,saint-jean-sur-reyssouze,1560,5.06667,46.4
167,garnerans,1140,4.83333,46.2
266,montrevel-en-bresse,1340,5.13333,46.3333
111,conand,1230,5.46667,45.8833
77,challes-la-montagne,1450,5.46667,46.1333
252,mogneneins,1140,4.81667,46.1333
420,thoissey,1140,4.8,46.1667
75,chaleins,1480,4.8,46.0333
273,neuville-sur-ain,1160,5.36667,46.0833
418,thil-01,1120,5.01667,45.8167
199,jujurieux,1640,5.41667,46.0333
279,oncieu,1230,5.46667,45.95
225,lurcy,1090,4.76667,46.0667
27,balan-01,1360,5.1,45.8333
8,ambutrix,1500,5.33333,45.9333
342,sainte-croix-01,1120,5.05195,45.8942
47,blyes,1150,5.25,45.85
117,conzieu,1300,5.6,45.7333
276,nievroz,1120,5.06667,45.8333
267,nurieux-volognat,1460,5.52667,46.1856
6,ambleon,1300,5.6,45.75
